Customer_ID,Age,Gender,City,Occupation,Education,Membership_Status,Monthly_Income,Spending_Score,Online_Purchases,Customer_Satisfaction,Purchase_Amount
C063,23.0,Female,Delhi,Analyst,Master,Silver,52620.0,66.0,20,5,14490.0
C064,54.0,Female,Mumbai,Teacher,Master,Silver,89726.0,68.0,13,1,11588.0
C065,20.0,Female,Chennai,Teacher,Master,Gold,28975.0,35.0,7,4,9575.0
C066,45.0,Male,Bangalore,Manager,Master,Gold,49921.0,47.0,27,5,14328.0
C067,53.0,Female,Mumbai,Doctor,Bachelor,Silver,56088.0,52.0,20,4,12700.0
C068,45.0,Female,Hyderabad,Analyst,Diploma,Platinum,63445.0,88.0,14,1,2009.0
C069,47.0,Female,Mumbai,Analyst,High School,Platinum,19015.0,52.0,21,1,4193.0
C070,49.0,Male,Chennai,Teacher,High School,Gold,22158.0,78.0,26,1,6000.0
C071,51.0,Male,Mumbai,Student,High School,Platinum,47189.0,88.0,4,3,3460.0
C072,40.0,Male,Hyderabad,Analyst,Diploma,Gold,71330.0,36.0,20,1,7997.0
C073,18.0,Male,Hyderabad,Analyst,Master,Gold,88080.0,51.0,1,4,9239.0
C074,56.0,Female,Bangalore,Engineer,Diploma,Gold,67922.0,69.0,11,1,3077.0
C075,22.0,Female,Pune,Teacher,High School,Silver,71871.0,66.0,22,5,8996.0
C076,,Female,Mumbai,Teacher,Bachelor,Gold,83215.0,57.0,17,2,10017.0
C077,47.0,Male,Mumbai,Teacher,Bachelor,Gold,71413.0,98.0,27,2,9730.0
C078,34.0,Male,Hyderabad,Manager,Diploma,Silver,37963.0,88.0,1,5,7569.0
C079,30.0,Female,Mumbai,Teacher,Master,Platinum,24254.0,42.0,22,3,13637.0
C080,33.0,Female,Delhi,Manager,Master,Silver,51434.0,51.0,17,5,8777.0
C081,36.0,Male,Hyderabad,Engineer,Master,Gold,54668.0,41.0,20,1,8376.0
C082,29.0,Female,Pune,Engineer,High School,Gold,41624.0,,24,1,12453.0
C083,47.0,Male,Hyderabad,Student,Diploma,Silver,77399.0,71.0,14,2,14315.0
C084,40.0,Female,Bangalore,Analyst,Diploma,Gold,33034.0,75.0,18,3,3646.0
C085,40.0,Female,Mumbai,Manager,High School,Gold,52674.0,34.0,24,5,
C086,27.0,Male,Chennai,Student,Bachelor,Gold,74793.0,63.0,24,1,5596.0
C087,37.0,Male,Delhi,Engineer,Bachelor,Silver,,53.0,14,1,8891.0
C088,36.0,Female,Chennai,Analyst,Diploma,Gold,,78.0,23,3,2876.0
C089,23.0,Male,Chennai,Student,High School,Gold,,23.0,29,3,5517.0
C090,47.0,Male,Chennai,Teacher,Bachelor,Platinum,22324.0,55.0,23,2,10659.0
C091,45.0,Male,Delhi,Doctor,Diploma,Silver,31234.0,81.0,24,2,2846.0
C092,28.0,Female,Bangalore,Teacher,High School,Silver,24469.0,45.0,21,4,12002.0
C093,37.0,Male,Delhi,Student,Master,Platinum,85584.0,33.0,5,5,3917.0
C094,28.0,Male,Delhi,Analyst,Bachelor,Platinum,38128.0,25.0,17,2,2260.0
C095,40.0,Female,Delhi,Engineer,High School,Gold,52387.0,84.0,4,1,4832.0
C096,26.0,Male,Pune,Teacher,Diploma,Platinum,30219.0,69.0,13,5,10567.0
C097,28.0,Male,Bangalore,Manager,Bachelor,Platinum,23415.0,83.0,21,4,7951.0
C098,46.0,Female,Mumbai,Student,High School,Gold,48523.0,49.0,2,5,4898.0
C099,31.0,Female,Pune,Manager,High School,Silver,61303.0,91.0,6,3,9804.0
C100,55.0,Male,Chennai,Student,High School,Silver,,85.0,13,5,5687.0
C101,57.0,Male,Mumbai,Doctor,Diploma,Platinum,400000.0,61.0,19,5,120000.0
C102,47.0,Male,Mumbai,Manager,High School,Gold,84656.0,46.0,22,1,7373.0
C103,21.0,Female,Bangalore,Engineer,High School,Platinum,61872.0,57.0,12,4,8359.0
C104,32.0,Male,Hyderabad,Analyst,Bachelor,Silver,38609.0,46.0,18,3,12147.0
C105,53.0,Female,Mumbai,Teacher,High School,Platinum,32153.0,57.0,5,2,12541.0
C106,29.0,Female,Hyderabad,Doctor,Diploma,Silver,33328.0,79.0,10,4,9147.0
C107,53.0,Female,Delhi,Analyst,Master,Silver,18126.0,,25,1,7109.0
C108,46.0,Female,Chennai,Doctor,Bachelor,Platinum,52560.0,65.0,4,5,5417.0
C109,53.0,Female,Chennai,Student,Bachelor,Gold,55430.0,59.0,14,5,13694.0
C110,26.0,Male,Chennai,Engineer,Master,Silver,31224.0,54.0,19,1,3625.0
C111,28.0,Female,Bangalore,Engineer,Bachelor,Gold,54368.0,62.0,26,4,3205.0
C112,41.0,Male,Delhi,Doctor,High School,Silver,55148.0,82.0,10,2,12395.0
C113,,Male,Chennai,Manager,High School,Silver,70853.0,82.0,28,1,6422.0
C114,18.0,Female,Hyderabad,Doctor,Bachelor,Platinum,42442.0,75.0,18,5,13568.0
C115,46.0,Female,Mumbai,Engineer,High School,Gold,56258.0,66.0,17,2,8645.0
C116,45.0,Male,Bangalore,Doctor,Diploma,Platinum,83155.0,20.0,7,5,14342.0
C117,56.0,Male,Bangalore,Engineer,Bachelor,Gold,70603.0,74.0,27,2,5462.0
C118,46.0,Female,Chennai,Student,Bachelor,Platinum,48678.0,78.0,28,1,5310.0
C119,54.0,Male,Mumbai,Student,Master,Platinum,82929.0,54.0,23,3,14175.0
C120,21.0,Female,Hyderabad,Doctor,High School,Gold,84358.0,67.0,17,2,10966.0
C121,50.0,Male,Hyderabad,Teacher,Master,Silver,59874.0,55.0,28,4,6177.0
C122,19.0,Male,Hyderabad,Manager,Bachelor,Gold,33358.0,21.0,2,4,3555.0
C123,22.0,Male,Pune,Doctor,High School,Gold,80516.0,,2,4,13769.0
C124,39.0,Female,Chennai,Engineer,Diploma,Platinum,55599.0,33.0,8,2,10428.0
C125,42.0,Male,Chennai,Doctor,Diploma,Platinum,69693.0,23.0,25,2,12268.0
C126,51.0,Male,Hyderabad,Teacher,Diploma,Gold,79268.0,61.0,3,1,12273.0
C127,34.0,Male,Chennai,Doctor,Diploma,Platinum,66756.0,46.0,24,3,6263.0
C128,,Female,Hyderabad,Student,High School,Platinum,77052.0,36.0,25,5,9643.0
C129,19.0,Female,Pune,Teacher,High School,Platinum,39172.0,55.0,18,2,6124.0
C130,38.0,Male,Mumbai,Manager,High School,Platinum,29046.0,73.0,1,5,9479.0
C131,50.0,Female,Delhi,Manager,Bachelor,Platinum,49987.0,81.0,26,5,
C132,51.0,Male,Bangalore,Engineer,High School,Silver,33048.0,59.0,16,1,3240.0
C133,57.0,Female,Chennai,Teacher,Bachelor,Gold,52020.0,63.0,18,2,8667.0
C134,36.0,Male,Delhi,Teacher,Bachelor,Silver,53772.0,36.0,9,1,14086.0
C135,29.0,Female,Mumbai,Analyst,High School,Platinum,72756.0,99.0,5,1,8609.0
C136,42.0,Female,Mumbai,Engineer,High School,Silver,45935.0,29.0,15,1,14182.0
C137,43.0,Male,Pune,Engineer,Bachelor,Gold,55198.0,26.0,8,3,10007.0
C138,40.0,Male,Bangalore,Doctor,Master,Platinum,37426.0,37.0,26,2,2614.0
C139,34.0,Female,Mumbai,Manager,Master,Silver,20983.0,74.0,22,4,10230.0
C140,32.0,Female,Chennai,Manager,High School,Gold,25564.0,52.0,15,5,11323.0
C141,19.0,Male,Mumbai,Engineer,Diploma,Gold,47430.0,32.0,12,2,5810.0
C142,56.0,Female,Delhi,Analyst,Diploma,Silver,79916.0,81.0,20,4,14984.0
C143,33.0,Female,Delhi,Student,Diploma,Gold,68072.0,24.0,0,1,4050.0
C144,31.0,Female,Pune,Engineer,Master,Gold,58600.0,67.0,0,5,10173.0
C145,32.0,Male,Chennai,Student,Master,Platinum,61001.0,56.0,28,5,11130.0
C146,23.0,Male,Pune,Teacher,Diploma,Silver,66280.0,90.0,19,4,7690.0
C147,25.0,Female,Hyderabad,Doctor,High School,Platinum,52157.0,93.0,10,2,2824.0
C148,43.0,Male,Chennai,Engineer,Bachelor,Gold,68948.0,73.0,14,1,13362.0
C149,37.0,Female,Chennai,Analyst,Bachelor,Gold,43425.0,81.0,16,3,14447.0
C150,52.0,Female,Hyderabad,Analyst,Bachelor,Silver,77720.0,87.0,13,5,13873.0
C151,28.0,Male,Mumbai,Teacher,Master,Silver,83160.0,86.0,24,2,11547.0
C152,59.0,Male,Chennai,Analyst,Bachelor,Platinum,43559.0,98.0,5,3,5972.0
C153,43.0,Female,Pune,Analyst,Master,Silver,59755.0,88.0,12,1,7233.0
C154,57.0,Male,Pune,Analyst,Bachelor,Gold,19591.0,59.0,1,3,12188.0
C155,50.0,Female,Mumbai,Manager,High School,Platinum,83082.0,67.0,8,5,2362.0
C156,42.0,Male,Bangalore,Manager,Bachelor,Platinum,20469.0,79.0,6,5,2556.0
C157,48.0,Male,Bangalore,Engineer,Master,Platinum,54509.0,58.0,17,4,13521.0
C158,31.0,Male,Hyderabad,Manager,Bachelor,Gold,78461.0,46.0,16,1,4064.0
C159,57.0,Male,Bangalore,Manager,Master,Silver,19007.0,89.0,18,2,7352.0
C160,49.0,Female,Delhi,Manager,Bachelor,Gold,44660.0,41.0,3,4,3887.0
C161,53.0,Female,Delhi,Teacher,Master,Silver,81888.0,29.0,21,1,10213.0
C162,43.0,Female,Mumbai,Engineer,Diploma,Gold,55567.0,66.0,28,4,13939.0
C163,52.0,Female,Hyderabad,Manager,Bachelor,Silver,62064.0,25.0,14,3,12698.0
C164,40.0,Female,Bangalore,Doctor,Diploma,Silver,32288.0,32.0,8,5,12396.0
C165,28.0,Female,Bangalore,Doctor,Master,Gold,40042.0,86.0,16,4,13703.0
C166,45.0,Male,Hyderabad,Analyst,Bachelor,Gold,81416.0,88.0,2,3,9424.0
C167,55.0,Male,Bangalore,Analyst,Bachelor,Silver,44385.0,34.0,11,3,3607.0
C168,42.0,Male,Hyderabad,Analyst,Master,Platinum,48707.0,,2,5,2959.0
C169,41.0,Female,Bangalore,Teacher,Master,Gold,18526.0,44.0,29,1,14157.0
C170,37.0,Female,Chennai,Doctor,Master,Silver,23109.0,21.0,23,3,5788.0
C171,34.0,Female,Hyderabad,Engineer,Diploma,Gold,80046.0,57.0,10,5,10920.0
C172,50.0,Female,Pune,Student,Master,Platinum,50981.0,70.0,23,1,12640.0
C173,29.0,Male,Pune,Doctor,Diploma,Silver,40431.0,21.0,0,1,14236.0
C174,47.0,Male,Hyderabad,Manager,Diploma,Gold,70326.0,85.0,5,2,3709.0
C175,32.0,Female,Bangalore,Manager,High School,Platinum,75660.0,86.0,26,1,8917.0
C176,26.0,Male,Chennai,Engineer,Master,Gold,21389.0,81.0,14,3,4430.0
C177,24.0,Male,Delhi,Manager,Diploma,Gold,51662.0,22.0,8,4,6109.0
C178,28.0,Female,Pune,Manager,Bachelor,Silver,19560.0,64.0,18,2,5638.0
C179,53.0,Male,Hyderabad,Analyst,Bachelor,Platinum,38049.0,89.0,17,3,2661.0
C180,54.0,Female,Chennai,Teacher,Bachelor,Gold,26946.0,54.0,28,5,8078.0
C181,32.0,Male,Delhi,Student,Diploma,Silver,77321.0,80.0,23,4,14803.0
C182,45.0,Female,Pune,Manager,Master,Gold,22703.0,55.0,25,5,7631.0
C183,53.0,Female,Bangalore,Manager,Diploma,Platinum,30201.0,77.0,21,5,5714.0
C184,35.0,Female,Hyderabad,Student,Bachelor,Gold,37975.0,61.0,11,2,2374.0
C185,54.0,Male,Pune,Analyst,High School,Gold,68677.0,79.0,28,1,5155.0
C186,19.0,Male,Pune,Student,Bachelor,Silver,85649.0,54.0,4,5,12238.0
C187,18.0,Female,Delhi,Manager,High School,Platinum,70233.0,86.0,21,2,7724.0
C188,27.0,Female,Pune,Student,High School,Silver,41499.0,20.0,24,4,11499.0
C189,54.0,Male,Hyderabad,Manager,High School,Silver,27847.0,63.0,23,4,3390.0
C190,32.0,Female,Delhi,Teacher,High School,Gold,84504.0,56.0,19,2,13036.0
C191,18.0,Male,Mumbai,Doctor,High School,Silver,47856.0,70.0,13,4,6585.0
C192,37.0,Male,Bangalore,Teacher,Bachelor,Gold,63272.0,69.0,28,1,7342.0
C193,40.0,Female,Pune,Manager,Bachelor,Gold,50556.0,71.0,15,2,12985.0
C194,25.0,Female,Hyderabad,Student,Bachelor,Silver,31669.0,24.0,14,2,7238.0
C195,43.0,Male,Bangalore,Doctor,Diploma,Gold,42089.0,,14,1,14875.0
C196,44.0,Female,Chennai,Doctor,Master,Silver,49890.0,50.0,15,5,11519.0
C197,,Male,Bangalore,Doctor,Master,Gold,35087.0,89.0,8,1,9848.0
C198,42.0,Female,Hyderabad,Student,High School,Silver,84024.0,94.0,3,2,5173.0
C199,21.0,Female,Mumbai,Doctor,Diploma,Gold,43426.0,94.0,0,1,4772.0
C200,32.0,Male,Delhi,Engineer,Bachelor,Platinum,27108.0,38.0,27,5,7592.0
C011,22.0,Female,Bangalore,Student,Master,Platinum,26392.0,91.0,11,2,5104.0
C026,33.0,Female,Chennai,Manager,Master,Silver,20049.0,20.0,15,4,6548.0
C051,51.0,Male,Chennai,Manager,Diploma,Silver,56513.0,94.0,28,4,2728.0
