Customer_ID,Age,Gender,City,Occupation,Education,Membership_Status,Monthly_Income,Spending_Score,Online_Purchases,Customer_Satisfaction,Purchase_Amount,High_Value_Customer
C056,33.0,1,3,5,3,2,29130.0,72.0,22,1,3062.0,0
C057,59.0,0,5,2,2,1,56102.0,94.0,17,4,9241.0,1
C058,34.0,1,5,1,2,0,80856.0,69.0,26,2,11409.0,1
C059,22.0,1,3,1,0,2,44432.0,36.0,6,1,3324.0,0
C060,21.0,0,5,3,0,1,44790.0,93.0,25,3,14326.0,1
C061,20.0,1,3,2,3,0,48355.0,91.0,28,1,12150.0,1
C062,18.0,1,3,3,1,2,46016.0,44.0,23,1,7029.0,0
C063,23.0,0,2,0,3,2,52620.0,66.0,20,5,14490.0,1
C064,54.0,0,4,5,3,2,89726.0,68.0,13,1,11588.0,1
C065,20.0,0,1,5,3,0,28975.0,35.0,7,4,9575.0,1
C066,45.0,1,0,3,3,0,49921.0,47.0,27,5,14328.0,1
C067,53.0,0,4,1,0,2,56088.0,52.0,20,4,12700.0,1
C068,45.0,0,3,0,1,1,63445.0,88.0,14,1,2009.0,0
C069,47.0,0,4,0,2,1,19015.0,52.0,21,1,4193.0,0
C070,49.0,1,1,5,2,0,22158.0,78.0,26,1,6000.0,0
C071,51.0,1,4,4,2,1,47189.0,88.0,4,3,3460.0,0
C072,40.0,1,3,0,1,0,71330.0,36.0,20,1,7997.0,0
C073,18.0,1,3,0,3,0,88080.0,51.0,1,4,9239.0,1
C074,56.0,0,0,2,1,0,67922.0,69.0,11,1,3077.0,0
C075,22.0,0,5,5,2,2,71871.0,66.0,22,5,8996.0,1
C076,40.0,0,4,5,0,0,83215.0,57.0,17,2,10017.0,1
C077,47.0,1,4,5,0,0,71413.0,98.0,27,2,9730.0,1
C078,34.0,1,3,3,1,2,37963.0,88.0,1,5,7569.0,0
C079,30.0,0,4,5,3,1,24254.0,42.0,22,3,13637.0,1
C080,33.0,0,2,3,3,2,51434.0,51.0,17,5,8777.0,1
C081,36.0,1,3,2,3,0,54668.0,41.0,20,1,8376.0,1
C082,29.0,0,5,2,2,0,41624.0,63.0,24,1,12453.0,1
C083,47.0,1,3,4,1,2,77399.0,71.0,14,2,14315.0,1
C084,40.0,0,0,0,1,0,33034.0,75.0,18,3,3646.0,0
C085,40.0,0,4,3,2,0,52674.0,34.0,24,5,8040.0,0
C086,27.0,1,1,4,0,0,74793.0,63.0,24,1,5596.0,0
C087,37.0,1,2,2,0,2,52647.0,53.0,14,1,8891.0,1
C088,36.0,0,1,0,1,0,52647.0,78.0,23,3,2876.0,0
C089,23.0,1,1,4,2,0,52647.0,23.0,29,3,5517.0,0
C090,47.0,1,1,5,0,1,22324.0,55.0,23,2,10659.0,1
C091,45.0,1,2,1,1,2,31234.0,81.0,24,2,2846.0,0
C092,28.0,0,0,5,2,2,24469.0,45.0,21,4,12002.0,1
C093,37.0,1,2,4,3,1,85584.0,33.0,5,5,3917.0,0
C094,28.0,1,2,0,0,1,38128.0,25.0,17,2,2260.0,0
C095,40.0,0,2,2,2,0,52387.0,84.0,4,1,4832.0,0
C096,26.0,1,5,5,1,1,30219.0,69.0,13,5,10567.0,1
C097,28.0,1,0,3,0,1,23415.0,83.0,21,4,7951.0,0
C098,46.0,0,4,4,2,0,48523.0,49.0,2,5,4898.0,0
C099,31.0,0,5,3,2,2,61303.0,91.0,6,3,9804.0,1
C100,55.0,1,1,4,2,2,52647.0,85.0,13,5,5687.0,0
C101,57.0,1,4,1,1,1,400000.0,61.0,19,5,120000.0,1
C102,47.0,1,4,3,2,0,84656.0,46.0,22,1,7373.0,0
C103,21.0,0,0,2,2,1,61872.0,57.0,12,4,8359.0,1
C104,32.0,1,3,0,0,2,38609.0,46.0,18,3,12147.0,1
C105,53.0,0,4,5,2,1,32153.0,57.0,5,2,12541.0,1
C106,29.0,0,3,1,1,2,33328.0,79.0,10,4,9147.0,1
C107,53.0,0,2,0,3,2,18126.0,63.0,25,1,7109.0,0
C108,46.0,0,1,1,0,1,52560.0,65.0,4,5,5417.0,0
C109,53.0,0,1,4,0,0,55430.0,59.0,14,5,13694.0,1
C110,26.0,1,1,2,3,2,31224.0,54.0,19,1,3625.0,0
C111,28.0,0,0,2,0,0,54368.0,62.0,26,4,3205.0,0
C112,41.0,1,2,1,2,2,55148.0,82.0,10,2,12395.0,1
C113,40.0,1,1,3,2,2,70853.0,82.0,28,1,6422.0,0
C114,18.0,0,3,1,0,1,42442.0,75.0,18,5,13568.0,1
C115,46.0,0,4,2,2,0,56258.0,66.0,17,2,8645.0,1
C116,45.0,1,0,1,1,1,83155.0,20.0,7,5,14342.0,1
C117,56.0,1,0,2,0,0,70603.0,74.0,27,2,5462.0,0
C118,46.0,0,1,4,0,1,48678.0,78.0,28,1,5310.0,0
C119,54.0,1,4,4,3,1,82929.0,54.0,23,3,14175.0,1
C120,21.0,0,3,1,2,0,84358.0,67.0,17,2,10966.0,1
C121,50.0,1,3,5,3,2,59874.0,55.0,28,4,6177.0,0
C122,19.0,1,3,3,0,0,33358.0,21.0,2,4,3555.0,0
C123,22.0,1,5,1,2,0,80516.0,63.0,2,4,13769.0,1
C124,39.0,0,1,2,1,1,55599.0,33.0,8,2,10428.0,1
C125,42.0,1,1,1,1,1,69693.0,23.0,25,2,12268.0,1
C126,51.0,1,3,5,1,0,79268.0,61.0,3,1,12273.0,1
C127,34.0,1,1,1,1,1,66756.0,46.0,24,3,6263.0,0
C128,40.0,0,3,4,2,1,77052.0,36.0,25,5,9643.0,1
C129,19.0,0,5,5,2,1,39172.0,55.0,18,2,6124.0,0
C130,38.0,1,4,3,2,1,29046.0,73.0,1,5,9479.0,1
C131,50.0,0,2,3,0,1,49987.0,81.0,26,5,8040.0,0
C132,51.0,1,0,2,2,2,33048.0,59.0,16,1,3240.0,0
C133,57.0,0,1,5,0,0,52020.0,63.0,18,2,8667.0,1
C134,36.0,1,2,5,0,2,53772.0,36.0,9,1,14086.0,1
C135,29.0,0,4,0,2,1,72756.0,99.0,5,1,8609.0,1
C136,42.0,0,4,2,2,2,45935.0,29.0,15,1,14182.0,1
C137,43.0,1,5,2,0,0,55198.0,26.0,8,3,10007.0,1
C138,40.0,1,0,1,3,1,37426.0,37.0,26,2,2614.0,0
C139,34.0,0,4,3,3,2,20983.0,74.0,22,4,10230.0,1
C140,32.0,0,1,3,2,0,25564.0,52.0,15,5,11323.0,1
C141,19.0,1,4,2,1,0,47430.0,32.0,12,2,5810.0,0
C142,56.0,0,2,0,1,2,79916.0,81.0,20,4,14984.0,1
C143,33.0,0,2,4,1,0,68072.0,24.0,0,1,4050.0,0
C144,31.0,0,5,2,3,0,58600.0,67.0,0,5,10173.0,1
C145,32.0,1,1,4,3,1,61001.0,56.0,28,5,11130.0,1
C146,23.0,1,5,5,1,2,66280.0,90.0,19,4,7690.0,0
C147,25.0,0,3,1,2,1,52157.0,93.0,10,2,2824.0,0
C148,43.0,1,1,2,0,0,68948.0,73.0,14,1,13362.0,1
C149,37.0,0,1,0,0,0,43425.0,81.0,16,3,14447.0,1
C150,52.0,0,3,0,0,2,77720.0,87.0,13,5,13873.0,1
C151,28.0,1,4,5,3,2,83160.0,86.0,24,2,11547.0,1
C152,59.0,1,1,0,0,1,43559.0,98.0,5,3,5972.0,0
C153,43.0,0,5,0,3,2,59755.0,88.0,12,1,7233.0,0
C154,57.0,1,5,0,0,0,19591.0,59.0,1,3,12188.0,1
C155,50.0,0,4,3,2,1,83082.0,67.0,8,5,2362.0,0
C156,42.0,1,0,3,0,1,20469.0,79.0,6,5,2556.0,0
C157,48.0,1,0,2,3,1,54509.0,58.0,17,4,13521.0,1
C158,31.0,1,3,3,0,0,78461.0,46.0,16,1,4064.0,0
C159,57.0,1,0,3,3,2,19007.0,89.0,18,2,7352.0,0
C160,49.0,0,2,3,0,0,44660.0,41.0,3,4,3887.0,0
C161,53.0,0,2,5,3,2,81888.0,29.0,21,1,10213.0,1
C162,43.0,0,4,2,1,0,55567.0,66.0,28,4,13939.0,1
C163,52.0,0,3,3,0,2,62064.0,25.0,14,3,12698.0,1
C164,40.0,0,0,1,1,2,32288.0,32.0,8,5,12396.0,1
C165,28.0,0,0,1,3,0,40042.0,86.0,16,4,13703.0,1
C166,45.0,1,3,0,0,0,81416.0,88.0,2,3,9424.0,1
C167,55.0,1,0,0,0,2,44385.0,34.0,11,3,3607.0,0
C168,42.0,1,3,0,3,1,48707.0,63.0,2,5,2959.0,0
C169,41.0,0,0,5,3,0,18526.0,44.0,29,1,14157.0,1
C170,37.0,0,1,1,3,2,23109.0,21.0,23,3,5788.0,0
C171,34.0,0,3,2,1,0,80046.0,57.0,10,5,10920.0,1
C172,50.0,0,5,4,3,1,50981.0,70.0,23,1,12640.0,1
C173,29.0,1,5,1,1,2,40431.0,21.0,0,1,14236.0,1
C174,47.0,1,3,3,1,0,70326.0,85.0,5,2,3709.0,0
C175,32.0,0,0,3,2,1,75660.0,86.0,26,1,8917.0,1
C176,26.0,1,1,2,3,0,21389.0,81.0,14,3,4430.0,0
C177,24.0,1,2,3,1,0,51662.0,22.0,8,4,6109.0,0
C178,28.0,0,5,3,0,2,19560.0,64.0,18,2,5638.0,0
C179,53.0,1,3,0,0,1,38049.0,89.0,17,3,2661.0,0
C180,54.0,0,1,5,0,0,26946.0,54.0,28,5,8078.0,1
C181,32.0,1,2,4,1,2,77321.0,80.0,23,4,14803.0,1
C182,45.0,0,5,3,3,0,22703.0,55.0,25,5,7631.0,0
C183,53.0,0,0,3,1,1,30201.0,77.0,21,5,5714.0,0
C184,35.0,0,3,4,0,0,37975.0,61.0,11,2,2374.0,0
C185,54.0,1,5,0,2,0,68677.0,79.0,28,1,5155.0,0
C186,19.0,1,5,4,0,2,85649.0,54.0,4,5,12238.0,1
C187,18.0,0,2,3,2,1,70233.0,86.0,21,2,7724.0,0
C188,27.0,0,5,4,2,2,41499.0,20.0,24,4,11499.0,1
C189,54.0,1,3,3,2,2,27847.0,63.0,23,4,3390.0,0
C190,32.0,0,2,5,2,0,84504.0,56.0,19,2,13036.0,1
C191,18.0,1,4,1,2,2,47856.0,70.0,13,4,6585.0,0
C192,37.0,1,0,5,0,0,63272.0,69.0,28,1,7342.0,0
C193,40.0,0,5,3,0,0,50556.0,71.0,15,2,12985.0,1
C194,25.0,0,3,4,0,2,31669.0,24.0,14,2,7238.0,0
C195,43.0,1,0,1,1,0,42089.0,63.0,14,1,14875.0,1
C196,44.0,0,1,1,3,2,49890.0,50.0,15,5,11519.0,1
C197,40.0,1,0,1,3,0,35087.0,89.0,8,1,9848.0,1
C198,42.0,0,3,4,2,2,84024.0,94.0,3,2,5173.0,0
C199,21.0,0,4,1,1,0,43426.0,94.0,0,1,4772.0,0
C200,32.0,1,2,2,0,1,27108.0,38.0,27,5,7592.0,0
